Symbol,Close,RS,EMA5,EMA20,EMA50,EMA200,MarketCap,Sector
APLAPOLLO,2083.300048828125,0.06947737913291241,2036.1914486747457,1944.5139353700258,1895.5860716688387,1892.8173454578757,578445770752.0,Basic Materials
ABCAPITAL,401.0,0.08948499244222141,406.81200672980873,406.1479159597184,392.97405476392044,358.14714083166086,1097200435200.0,Financial Services
ASHOKLEY,171.63999938964844,0.10619552817710454,174.24560414722944,168.72434727604616,163.44786718144613,161.7225882534044,,Industrials
ASIANPAINT,2696.300048828125,0.01283721782389824,2730.591409753445,2729.7685592488133,2687.334968553144,2578.758121230488,2584792530944.0,Basic Materials
AUROPHARMA,1622.0999755859375,0.041143972976869225,1642.069485413496,1607.0739532172915,1554.058532554223,1391.1892553893097,933320523776.0,Healthcare
BAJAJ-AUTO,11700.0,0.10940465022999435,11684.758930456572,11372.252061940266,10814.365295065723,9918.188218724034,3215204810752.0,Consumer Cyclical
BANKINDIA,144.10000610351562,0.015005981321223771,143.91359021090577,142.37911076330676,142.21075056929052,141.03568989264022,656039411712.0,Financial Services
BHEL,421.70001220703125,0.030669762575796122,416.61793730941497,410.9393392654738,400.82959882854715,343.17721154957803,1468386115584.0,Industrials
BHARTIARTL,1992.0999755859375,0.027268769987872865,1958.2737632272404,1938.9571470290746,1903.1060221812418,1896.0504357224902,12428031033344.0,Communication Services
CHOLAFIN,1894.4000244140625,0.1887908335900177,1906.7947735159698,1857.2660226845558,1779.312406708744,1672.6391514445675,1617942675456.0,Financial Services
DLF,665.0,0.15285911634685379,660.1321828487526,653.6028739616202,637.1666873562074,634.3177049993159,1646082260992.0,Real Estate
DIVISLAB,8477.0,0.22173805938503732,8471.533754461334,8035.955016302119,7470.285272792303,6767.852214220532,2250377003008.0,Healthcare
DIXON,14130.0,0.2488402957009619,14052.74037316537,13930.466759567502,13263.909240506835,12660.988241473766,859130757120.0,Technology
ETERNAL,318.5,0.2814323561102683,316.3636363615244,306.77221772966226,288.99239896845614,275.376653467449,2931917848576.0,Consumer Cyclical
