Symbol,Close,RS,EMA5,EMA20,EMA50,EMA200,MarketCap,Sector
360ONE,1204.0,0.07438108250358288,1198.9657956335989,1177.2289204648266,1147.0462726630262,1110.010643524091,490707681280.0,Financial Services
ABB,7490.0,0.0417494972297876,7539.152235951631,7505.472210772176,7311.409969807169,6578.60115020336,1587193708544.0,Industrials
ACC,1310.5999755859375,-0.08304232415410107,1312.9469093782486,1327.3656494476172,1346.129930906243,1461.8582225941943,246113976320.0,Basic Materials
APLAPOLLO,2188.0,0.16256142168540744,2156.059674632962,2060.7703927955226,1967.179122026554,1913.8804691060977,607516557312.0,Basic Materials
AUBANK,1091.0,0.07834054984321215,1103.610939430804,1083.08404445079,1056.0731475442078,992.2740231854975,817163534336.0,Financial Services
ADANIENSOL,1617.0,0.0419258261091815,1586.230800345981,1598.6662083652527,1581.7121322755552,1341.3628204596926,1977517473792.0,Utilities
ADANIENT,3169.0,0.0582359840765827,3096.9850148190853,3047.910356420584,3004.2552374728484,2677.62047628631,4509402660864.0,Energy
ADANIGREEN,1328.5,-0.11512866099970642,1318.3558487213256,1345.8612227573904,1382.696997810305,1252.7186167970074,2188273516544.0,Utilities
ADANIPORTS,1714.0,-0.06379897890845587,1698.764379414138,1704.0285205239445,1728.609764666297,1640.785001671713,3948985712640.0,Industrials
ADANIPOWER,215.0,-0.14282044137916317,208.89521623955935,208.47169665184663,211.74150136796567,192.29363842380056,4146209488896.0,Utilities
ATGL,645.3499755859375,-0.20765235577365848,645.1780432415277,655.5651461681127,668.9122462599221,640.466069281539,709762416640.0,Utilities
ABCAPITAL,410.0,0.11502780582274696,409.769862822706,407.15250320185646,397.74930943085405,364.1841715285384,1122321825792.0,Financial Services
ALKEM,5320.0,-0.029829899397484594,5344.619497130166,5447.710929834934,5491.666627771535,5471.8403822104265,636085796864.0,Healthcare
AMBUJACEM,411.04998779296875,-0.10835290475521087,413.43757450662605,419.4735068388086,425.9179228160272,460.18897775690726,1021384065024.0,Basic Materials
APOLLOHOSP,8800.0,0.05688291744207885,8784.863015429792,8795.909798769979,8706.896398413937,8143.743393318368,1265304993792.0,Healthcare
ASHOKLEY,177.39999389648438,0.0943066762325322,176.2790559495063,172.6260342529672,166.90083522027396,163.0855578820506,,Industrials
ASIANPAINT,2631.0,-0.014337949696269114,2635.880509848593,2674.404754902536,2673.659900967949,2589.1424432292683,2522193068032.0,Basic Materials
ASTRAL,1529.199951171875,-0.049214160706577914,1530.5298179733418,1502.6886384922211,1480.971369655354,1494.2650824853395,410819821568.0,Industrials
AUROPHARMA,1637.0,0.13135831627809758,1625.6576396493244,1615.5478262459326,1575.2914209629487,1417.5058839050218,941893681152.0,Healthcare
DMART,3847.39990234375,-0.07427443217503849,3883.032460665767,3951.539743813083,4016.963184174717,4087.893659756781,2509451034624.0,Consumer Defensive
AXISBANK,1256.0,-0.04349054394706886,1247.8169764600113,1246.1407300297578,1265.1944917744258,1272.6573776838343,3910032162816.0,Financial Services
BSE,3328.0,-0.22057150768785394,3319.8462194562103,3416.631702181323,3554.8253246693794,3362.4907945284385,1351597555712.0,Financial Services
BAJAJ-AUTO,11720.0,0.09120719073374661,11755.256188316047,11591.560212961413,11108.514411113587,10112.615919147547,3220700921856.0,Consumer Cyclical
BAJFINANCE,1083.0,0.1613042958296289,1085.3398484881986,1085.5123098693152,1051.45553248532,986.4499523493887,6737249173504.0,Financial Services
BAJAJFINSV,2011.0,0.10406747991142673,2010.6941762229126,2000.6763203351218,1940.4566737716334,1900.1513173316896,3218092064768.0,Financial Services
BAJAJHLDNG,11399.0,0.0849415551443593,11378.651347881527,11286.486960169294,10994.291117108847,10838.995295538118,1268634746880.0,Financial Services
BAJAJHFL,85.29000091552734,-0.016046907892857454,84.6366481268066,85.07146748734824,85.6622524693822,89.37171451353062,710351585280.0,Financial Services
BANKBARODA,241.0,-0.08876999167912669,242.3703889735798,245.30698231546305,250.40323953142817,261.0028354110163,1246298374144.0,Financial Services
BANKINDIA,144.60000610351562,0.008060315747102864,144.19210428598004,143.06901666938765,142.59019180559667,141.38128357559296,658315739136.0,Financial Services
BDL,1348.5999755859375,0.04376586211339584,1356.1085813816214,1336.9515749057484,1319.198525591653,1351.2372459174499,494346174464.0,Industrials
